link,questionFrontendId,titleSlug,difficulty,topicTags
https://leetcode.com/problems/number-of-music-playlists/,920,number-of-music-playlists,Hard,"Math, Dynamic Programming, Combinatorics"
https://leetcode.com/problems/beautiful-array/,932,beautiful-array,Medium,"Array, Math, Divide and Conquer"
https://leetcode.com/problems/binary-tree-cameras/,968,binary-tree-cameras,Hard,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
https://leetcode.com/problems/unique-paths-iii/,980,unique-paths-iii,Hard,"Array, Backtracking, Bit Manipulation, Matrix"
https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero/,982,triples-with-bitwise-and-equal-to-zero,Hard,"Array, Hash Table, Bit Manipulation"
https://leetcode.com/problems/smallest-sufficient-team/,1125,smallest-sufficient-team,Hard,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
https://leetcode.com/problems/longest-chunked-palindrome-decomposition/,1147,longest-chunked-palindrome-decomposition,Hard,"Two Pointers, String, Dynamic Programming, Greedy, Rolling Hash, Hash Function"
https://leetcode.com/problems/make-array-strictly-increasing/,1187,make-array-strictly-increasing,Hard,"Array, Binary Search, Dynamic Programming, Sorting"
https://leetcode.com/problems/critical-connections-in-a-network/,1192,critical-connections-in-a-network,Hard,"Depth-First Search, Graph, Biconnected Component"
https://leetcode.com/problems/maximum-profit-in-job-scheduling/,1235,maximum-profit-in-job-scheduling,Hard,"Array, Binary Search, Dynamic Programming, Sorting"
https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/,1293,shortest-path-in-a-grid-with-obstacles-elimination,Hard,"Array, Breadth-First Search, Matrix"
https://leetcode.com/problems/distinct-echo-substrings/,1316,distinct-echo-substrings,Hard,"String, Trie, Rolling Hash, Hash Function"
https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/,1334,find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,Medium,"Dynamic Programming, Graph, Shortest Path"
https://leetcode.com/problems/longest-happy-prefix/,1392,longest-happy-prefix,Hard,"String, Rolling Hash, String Matching, Hash Function"
https://leetcode.com/problems/stone-game-iii/,1406,stone-game-iii,Hard,"Array, Math, Dynamic Programming, Game Theory"
https://leetcode.com/problems/rearrange-words-in-a-sentence/,1451,rearrange-words-in-a-sentence,Medium,"String, Sorting"
https://leetcode.com/problems/kth-ancestor-of-a-tree-node/,1483,kth-ancestor-of-a-tree-node,Hard,"Binary Search, Dynamic Programming, Tree, Depth-First Search, Breadth-First Search, Design"
https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/,1489,find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,Hard,"Union Find, Graph, Sorting, Minimum Spanning Tree, Strongly Connected Component"
https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/,1498,number-of-subsequences-that-satisfy-the-given-sum-condition,Medium,"Array, Two Pointers, Binary Search, Sorting"
https://leetcode.com/problems/stone-game-iv/,1510,stone-game-iv,Hard,"Math, Dynamic Programming, Game Theory"
https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island/,1568,minimum-number-of-days-to-disconnect-island,Hard,"Array, Depth-First Search, Breadth-First Search, Matrix, Strongly Connected Component"
https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/,1569,number-of-ways-to-reorder-array-to-get-same-bst,Hard,"Array, Math, Divide and Conquer, Dynamic Programming, Tree, Union Find, Binary Search Tree, Memoization, Combinatorics, Binary Tree"
https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable/,1579,remove-max-number-of-edges-to-keep-graph-fully-traversable,Hard,"Union Find, Graph"
https://leetcode.com/problems/minimum-cost-to-connect-two-groups-of-points/,1595,minimum-cost-to-connect-two-groups-of-points,Hard,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/,1601,maximum-number-of-achievable-transfer-requests,Hard,"Array, Backtracking, Bit Manipulation, Enumeration"
https://leetcode.com/problems/kth-smallest-instructions/,1643,kth-smallest-instructions,Hard,"Array, Math, Dynamic Programming, Combinatorics"
https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/,1697,checking-existence-of-edge-length-limited-paths,Hard,"Array, Two Pointers, Union Find, Graph, Sorting"
https://leetcode.com/problems/maximum-xor-with-an-element-from-array/,1707,maximum-xor-with-an-element-from-array,Hard,"Array, Bit Manipulation, Trie"
https://leetcode.com/problems/maximum-score-from-removing-substrings/,1717,maximum-score-from-removing-substrings,Medium,"String, Stack, Greedy"
https://leetcode.com/problems/maximize-score-after-n-operations/,1799,maximize-score-after-n-operations,Hard,"Array, Math, Dynamic Programming, Backtracking, Bit Manipulation, Number Theory, Bitmask"
https://leetcode.com/problems/find-xor-sum-of-all-pairs-bitwise-and/,1835,find-xor-sum-of-all-pairs-bitwise-and,Hard,"Array, Math, Bit Manipulation"
https://leetcode.com/problems/largest-color-value-in-a-directed-graph/,1857,largest-color-value-in-a-directed-graph,Hard,"Hash Table, Dynamic Programming, Graph, Topological Sort, Memoization, Counting"
