date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,topicTags
27/03/2021,https://leetcode.com/problems/palindromic-substrings/,647,palindromic-substrings,Palindromic Substrings,Medium,,"Two Pointers, String, Dynamic Programming"
28/03/2021,https://leetcode.com/problems/reconstruct-original-digits-from-english/,423,reconstruct-original-digits-from-english,Reconstruct Original Digits from English,Medium,,"Hash Table, Math, String"
29/03/2021,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal/,971,flip-binary-tree-to-match-preorder-traversal,Flip Binary Tree To Match Preorder Traversal,Medium,,"Tree, Depth-First Search, Binary Tree"
30/03/2021,https://leetcode.com/problems/russian-doll-envelopes/,354,russian-doll-envelopes,Russian Doll Envelopes,Hard,,"Array, Binary Search, Dynamic Programming, Sorting"
31/03/2021,https://leetcode.com/problems/stamping-the-sequence/,936,stamping-the-sequence,Stamping The Sequence,Hard,,"String, Stack, Greedy, Queue"
01/04/2021,https://leetcode.com/problems/palindrome-linked-list/,234,palindrome-linked-list,Palindrome Linked List,Easy,,"Linked List, Two Pointers, Stack, Recursion"
02/04/2021,https://leetcode.com/problems/ones-and-zeroes/,474,ones-and-zeroes,Ones and Zeroes,Medium,,"Array, String, Dynamic Programming"
03/04/2021,https://leetcode.com/problems/longest-valid-parentheses/,32,longest-valid-parentheses,Longest Valid Parentheses,Hard,,"String, Dynamic Programming, Stack"
04/04/2021,https://leetcode.com/problems/design-circular-queue/,622,design-circular-queue,Design Circular Queue,Medium,,"Array, Linked List, Design, Queue"
05/04/2021,https://leetcode.com/problems/global-and-local-inversions/,775,global-and-local-inversions,Global and Local Inversions,Medium,,"Array, Math"
06/04/2021,https://leetcode.com/problems/minimum-operations-to-make-array-equal/,1551,minimum-operations-to-make-array-equal,Minimum Operations to Make Array Equal,Medium,,Math
07/04/2021,https://leetcode.com/problems/determine-if-string-halves-are-alike/,1704,determine-if-string-halves-are-alike,Determine if String Halves Are Alike,Easy,,"String, Counting"
08/04/2021,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,17,letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,,"Hash Table, String, Backtracking"
09/04/2021,https://leetcode.com/problems/verifying-an-alien-dictionary/,953,verifying-an-alien-dictionary,Verifying an Alien Dictionary,Easy,,"Array, Hash Table, String"
10/04/2021,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,329,longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
11/04/2021,https://leetcode.com/problems/deepest-leaves-sum/,1302,deepest-leaves-sum,Deepest Leaves Sum,Medium,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
12/04/2021,https://leetcode.com/problems/beautiful-arrangement-ii/,667,beautiful-arrangement-ii,Beautiful Arrangement II,Medium,,"Array, Math"
13/04/2021,https://leetcode.com/problems/flatten-nested-list-iterator/,341,flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
14/04/2021,https://leetcode.com/problems/partition-list/,86,partition-list,Partition List,Medium,,"Linked List, Two Pointers"
15/04/2021,https://leetcode.com/problems/fibonacci-number/,509,fibonacci-number,Fibonacci Number,Easy,,"Math, Dynamic Programming, Recursion, Memoization"
16/04/2021,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,1209,remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,,"String, Stack"
17/04/2021,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target/,1074,number-of-submatrices-that-sum-to-target,Number of Submatrices That Sum to Target,Hard,,"Array, Hash Table, Matrix, Prefix Sum"
18/04/2021,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,19,remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,,"Linked List, Two Pointers"
19/04/2021,https://leetcode.com/problems/combination-sum-iv/,377,combination-sum-iv,Combination Sum IV,Medium,,"Array, Dynamic Programming"
20/04/2021,https://leetcode.com/problems/n-ary-tree-preorder-traversal/,589,n-ary-tree-preorder-traversal,N-ary Tree Preorder Traversal,Easy,,"Stack, Tree, Depth-First Search"
21/04/2021,https://leetcode.com/problems/triangle/,120,triangle,Triangle,Medium,,"Array, Dynamic Programming"
22/04/2021,https://leetcode.com/problems/brick-wall/,554,brick-wall,Brick Wall,Medium,,"Array, Hash Table"
23/04/2021,https://leetcode.com/problems/count-binary-substrings/,696,count-binary-substrings,Count Binary Substrings,Easy,,"Two Pointers, String"
24/04/2021,https://leetcode.com/problems/critical-connections-in-a-network/,1192,critical-connections-in-a-network,Critical Connections in a Network,Hard,,"Depth-First Search, Graph, Biconnected Component"
25/04/2021,https://leetcode.com/problems/rotate-image/,48,rotate-image,Rotate Image,Medium,,"Array, Math, Matrix"
26/04/2021,https://leetcode.com/problems/furthest-building-you-can-reach/,1642,furthest-building-you-can-reach,Furthest Building You Can Reach,Medium,,"Array, Greedy, Heap (Priority Queue)"
27/04/2021,https://leetcode.com/problems/power-of-three/,326,power-of-three,Power of Three,Easy,,"Math, Recursion"
28/04/2021,https://leetcode.com/problems/unique-paths-ii/,63,unique-paths-ii,Unique Paths II,Medium,,"Array, Dynamic Programming, Matrix"
29/04/2021,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,34,find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,,"Array, Binary Search"
30/04/2021,https://leetcode.com/problems/powerful-integers/,970,powerful-integers,Powerful Integers,Medium,,"Hash Table, Math, Enumeration"
01/05/2021,https://leetcode.com/problems/prefix-and-suffix-search/,745,prefix-and-suffix-search,Prefix and Suffix Search,Hard,,"Array, Hash Table, String, Design, Trie"
02/05/2021,https://leetcode.com/problems/course-schedule-iii/,630,course-schedule-iii,Course Schedule III,Hard,,"Array, Greedy, Sorting, Heap (Priority Queue)"
03/05/2021,https://leetcode.com/problems/running-sum-of-1d-array/,1480,running-sum-of-1d-array,Running Sum of 1d Array,Easy,,"Array, Prefix Sum"
04/05/2021,https://leetcode.com/problems/non-decreasing-array/,665,non-decreasing-array,Non-decreasing Array,Medium,,Array
05/05/2021,https://leetcode.com/problems/jump-game-ii/,45,jump-game-ii,Jump Game II,Medium,,"Array, Dynamic Programming, Greedy"
06/05/2021,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,109,convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,Medium,,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
07/05/2021,https://leetcode.com/problems/delete-operation-for-two-strings/,583,delete-operation-for-two-strings,Delete Operation for Two Strings,Medium,,"String, Dynamic Programming"
08/05/2021,https://leetcode.com/problems/super-palindromes/,906,super-palindromes,Super Palindromes,Hard,,"Math, String, Enumeration"
09/05/2021,https://leetcode.com/problems/construct-target-array-with-multiple-sums/,1354,construct-target-array-with-multiple-sums,Construct Target Array With Multiple Sums,Hard,,"Array, Heap (Priority Queue)"
10/05/2021,https://leetcode.com/problems/count-primes/,204,count-primes,Count Primes,Medium,,"Array, Math, Enumeration, Number Theory"
11/05/2021,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,1423,maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Medium,,"Array, Sliding Window, Prefix Sum"
12/05/2021,https://leetcode.com/problems/range-sum-query-2d-immutable/,304,range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,Medium,,"Array, Design, Matrix, Prefix Sum"
13/05/2021,https://leetcode.com/problems/ambiguous-coordinates/,816,ambiguous-coordinates,Ambiguous Coordinates,Medium,,"String, Backtracking, Enumeration"
14/05/2021,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,114,flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,Medium,,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
15/05/2021,https://leetcode.com/problems/valid-number/,65,valid-number,Valid Number,Hard,,String
16/05/2021,https://leetcode.com/problems/binary-tree-cameras/,968,binary-tree-cameras,Binary Tree Cameras,Hard,,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
17/05/2021,https://leetcode.com/problems/longest-string-chain/,1048,longest-string-chain,Longest String Chain,Medium,,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
18/05/2021,https://leetcode.com/problems/find-duplicate-file-in-system/,609,find-duplicate-file-in-system,Find Duplicate File in System,Medium,,"Array, Hash Table, String"
19/05/2021,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/,462,minimum-moves-to-equal-array-elements-ii,Minimum Moves to Equal Array Elements II,Medium,,"Array, Math, Sorting"
20/05/2021,https://leetcode.com/problems/binary-tree-level-order-traversal/,102,binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,,"Tree, Breadth-First Search, Binary Tree"
21/05/2021,https://leetcode.com/problems/find-and-replace-pattern/,890,find-and-replace-pattern,Find and Replace Pattern,Medium,,"Array, Hash Table, String"
22/05/2021,https://leetcode.com/problems/n-queens/,51,n-queens,N-Queens,Hard,,"Array, Backtracking"
23/05/2021,https://leetcode.com/problems/find-the-shortest-superstring/,943,find-the-shortest-superstring,Find the Shortest Superstring,Hard,,"Array, String, Dynamic Programming, Bit Manipulation, Bitmask"
24/05/2021,https://leetcode.com/problems/to-lower-case/,709,to-lower-case,To Lower Case,Easy,,String
25/05/2021,https://leetcode.com/problems/evaluate-reverse-polish-notation/,150,evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,,"Array, Math, Stack"
26/05/2021,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/,1689,partitioning-into-minimum-number-of-deci-binary-numbers,Partitioning Into Minimum Number Of Deci-Binary Numbers,Medium,,"String, Greedy"
27/05/2021,https://leetcode.com/problems/maximum-product-of-word-lengths/,318,maximum-product-of-word-lengths,Maximum Product of Word Lengths,Medium,,"Array, String, Bit Manipulation"
28/05/2021,https://leetcode.com/problems/maximum-erasure-value/,1695,maximum-erasure-value,Maximum Erasure Value,Medium,,"Array, Hash Table, Sliding Window"
29/05/2021,https://leetcode.com/problems/n-queens-ii/,52,n-queens-ii,N-Queens II,Hard,,Backtracking
30/05/2021,https://leetcode.com/problems/maximum-gap/,164,maximum-gap,Maximum Gap,Medium,,"Array, Sorting, Bucket Sort, Radix Sort"
31/05/2021,https://leetcode.com/problems/search-suggestions-system/,1268,search-suggestions-system,Search Suggestions System,Medium,,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
01/06/2021,https://leetcode.com/problems/max-area-of-island/,695,max-area-of-island,Max Area of Island,Medium,,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
02/06/2021,https://leetcode.com/problems/interleaving-string/,97,interleaving-string,Interleaving String,Medium,,"String, Dynamic Programming"
03/06/2021,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/,1465,maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,,"Array, Greedy, Sorting"
04/06/2021,https://leetcode.com/problems/open-the-lock/,752,open-the-lock,Open the Lock,Medium,,"Array, Hash Table, String, Breadth-First Search"
05/06/2021,https://leetcode.com/problems/maximum-performance-of-a-team/,1383,maximum-performance-of-a-team,Maximum Performance of a Team,Hard,,"Array, Greedy, Sorting, Heap (Priority Queue)"
06/06/2021,https://leetcode.com/problems/longest-consecutive-sequence/,128,longest-consecutive-sequence,Longest Consecutive Sequence,Medium,,"Array, Hash Table, Union Find"
07/06/2021,https://leetcode.com/problems/min-cost-climbing-stairs/,746,min-cost-climbing-stairs,Min Cost Climbing Stairs,Easy,,"Array, Dynamic Programming"
08/06/2021,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,105,construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Medium,,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
09/06/2021,https://leetcode.com/problems/jump-game-vi/,1696,jump-game-vi,Jump Game VI,Medium,,"Array, Dynamic Programming, Queue, Heap (Priority Queue), Monotonic Queue"
10/06/2021,https://leetcode.com/problems/my-calendar-i/,729,my-calendar-i,My Calendar I,Medium,,"Array, Binary Search, Design, Segment Tree, Ordered Set"
11/06/2021,https://leetcode.com/problems/stone-game-vii/,1690,stone-game-vii,Stone Game VII,Medium,,"Array, Math, Dynamic Programming, Game Theory"
12/06/2021,https://leetcode.com/problems/minimum-number-of-refueling-stops/,871,minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard,,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
13/06/2021,https://leetcode.com/problems/palindrome-pairs/,336,palindrome-pairs,Palindrome Pairs,Hard,,"Array, Hash Table, String, Trie"
14/06/2021,https://leetcode.com/problems/maximum-units-on-a-truck/,1710,maximum-units-on-a-truck,Maximum Units on a Truck,Easy,,"Array, Greedy, Sorting"
15/06/2021,https://leetcode.com/problems/matchsticks-to-square/,473,matchsticks-to-square,Matchsticks to Square,Medium,,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
16/06/2021,https://leetcode.com/problems/generate-parentheses/,22,generate-parentheses,Generate Parentheses,Medium,,"String, Dynamic Programming, Backtracking"
17/06/2021,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/,795,number-of-subarrays-with-bounded-maximum,Number of Subarrays with Bounded Maximum,Medium,,"Array, Two Pointers"
18/06/2021,https://leetcode.com/problems/range-sum-query-mutable/,307,range-sum-query-mutable,Range Sum Query - Mutable,Medium,,"Array, Divide and Conquer, Design, Binary Indexed Tree, Segment Tree"
19/06/2021,https://leetcode.com/problems/k-inverse-pairs-array/,629,k-inverse-pairs-array,K Inverse Pairs Array,Hard,,Dynamic Programming
20/06/2021,https://leetcode.com/problems/swim-in-rising-water/,778,swim-in-rising-water,Swim in Rising Water,Hard,,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
21/06/2021,https://leetcode.com/problems/pascals-triangle/,118,pascals-triangle,Pascal's Triangle,Easy,,"Array, Dynamic Programming"
22/06/2021,https://leetcode.com/problems/number-of-matching-subsequences/,792,number-of-matching-subsequences,Number of Matching Subsequences,Medium,,"Array, Hash Table, String, Binary Search, Dynamic Programming, Trie, Sorting"
23/06/2021,https://leetcode.com/problems/reverse-linked-list-ii/,92,reverse-linked-list-ii,Reverse Linked List II,Medium,,Linked List
24/06/2021,https://leetcode.com/problems/out-of-boundary-paths/,576,out-of-boundary-paths,Out of Boundary Paths,Medium,,Dynamic Programming
25/06/2021,https://leetcode.com/problems/redundant-connection/,684,redundant-connection,Redundant Connection,Medium,,"Depth-First Search, Breadth-First Search, Union Find, Graph"
26/06/2021,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,315,count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,Hard,,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
27/06/2021,https://leetcode.com/problems/candy/,135,candy,Candy,Hard,,"Array, Greedy"
28/06/2021,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,1047,remove-all-adjacent-duplicates-in-string,Remove All Adjacent Duplicates In String,Easy,,"String, Stack"
29/06/2021,https://leetcode.com/problems/max-consecutive-ones-iii/,1004,max-consecutive-ones-iii,Max Consecutive Ones III,Medium,,"Array, Binary Search, Sliding Window, Prefix Sum"
30/06/2021,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,236,lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,,"Tree, Depth-First Search, Binary Tree"
01/07/2021,https://leetcode.com/problems/gray-code/,89,gray-code,Gray Code,Medium,,"Math, Backtracking, Bit Manipulation"
02/07/2021,https://leetcode.com/problems/find-k-closest-elements/,658,find-k-closest-elements,Find K Closest Elements,Medium,,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
03/07/2021,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k/,363,max-sum-of-rectangle-no-larger-than-k,Max Sum of Rectangle No Larger Than K,Hard,,"Array, Binary Search, Matrix, Prefix Sum, Ordered Set"
04/07/2021,https://leetcode.com/problems/count-vowels-permutation/,1220,count-vowels-permutation,Count Vowels Permutation,Hard,,Dynamic Programming
05/07/2021,https://leetcode.com/problems/reshape-the-matrix/,566,reshape-the-matrix,Reshape the Matrix,Easy,,"Array, Matrix, Simulation"
06/07/2021,https://leetcode.com/problems/reduce-array-size-to-the-half/,1338,reduce-array-size-to-the-half,Reduce Array Size to The Half,Medium,,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
07/07/2021,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,378,kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,Medium,,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
08/07/2021,https://leetcode.com/problems/maximum-length-of-repeated-subarray/,718,maximum-length-of-repeated-subarray,Maximum Length of Repeated Subarray,Medium,,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
09/07/2021,https://leetcode.com/problems/longest-increasing-subsequence/,300,longest-increasing-subsequence,Longest Increasing Subsequence,Medium,,"Array, Binary Search, Dynamic Programming"
10/07/2021,https://leetcode.com/problems/decode-ways-ii/,639,decode-ways-ii,Decode Ways II,Hard,,"String, Dynamic Programming"
11/07/2021,https://leetcode.com/problems/find-median-from-data-stream/,295,find-median-from-data-stream,Find Median from Data Stream,Hard,,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
12/07/2021,https://leetcode.com/problems/isomorphic-strings/,205,isomorphic-strings,Isomorphic Strings,Easy,,"Hash Table, String"
13/07/2021,https://leetcode.com/problems/find-peak-element/,162,find-peak-element,Find Peak Element,Medium,,"Array, Binary Search"
14/07/2021,https://leetcode.com/problems/custom-sort-string/,791,custom-sort-string,Custom Sort String,Medium,,"Hash Table, String, Sorting"
15/07/2021,https://leetcode.com/problems/valid-triangle-number/,611,valid-triangle-number,Valid Triangle Number,Medium,,"Array, Two Pointers, Binary Search, Greedy, Sorting"
16/07/2021,https://leetcode.com/problems/4sum/,18,4sum,4Sum,Medium,,"Array, Two Pointers, Sorting"
17/07/2021,https://leetcode.com/problems/three-equal-parts/,927,three-equal-parts,Three Equal Parts,Hard,,"Array, Math"
18/07/2021,https://leetcode.com/problems/reverse-nodes-in-k-group/,25,reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,,"Linked List, Recursion"
19/07/2021,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,235,lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
20/07/2021,https://leetcode.com/problems/shuffle-an-array/,384,shuffle-an-array,Shuffle an Array,Medium,,"Array, Math, Design, Randomized"
21/07/2021,https://leetcode.com/problems/push-dominoes/,838,push-dominoes,Push Dominoes,Medium,,"Two Pointers, String, Dynamic Programming"
22/07/2021,https://leetcode.com/problems/partition-array-into-disjoint-intervals/,915,partition-array-into-disjoint-intervals,Partition Array into Disjoint Intervals,Medium,,Array
23/07/2021,https://leetcode.com/problems/binary-tree-pruning/,814,binary-tree-pruning,Binary Tree Pruning,Medium,,"Tree, Depth-First Search, Binary Tree"
24/07/2021,https://leetcode.com/problems/word-ladder-ii/,126,word-ladder-ii,Word Ladder II,Hard,,"Hash Table, String, Backtracking, Breadth-First Search"
25/07/2021,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones/,600,non-negative-integers-without-consecutive-ones,Non-negative Integers without Consecutive Ones,Hard,,Dynamic Programming
26/07/2021,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,108,convert-sorted-array-to-binary-search-tree,Convert Sorted Array to Binary Search Tree,Easy,,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
27/07/2021,https://leetcode.com/problems/3sum-closest/,16,3sum-closest,3Sum Closest,Medium,,"Array, Two Pointers, Sorting"
28/07/2021,https://leetcode.com/problems/beautiful-array/,932,beautiful-array,Beautiful Array,Medium,,"Array, Math, Divide and Conquer"
29/07/2021,https://leetcode.com/problems/01-matrix/,542,01-matrix,01 Matrix,Medium,,"Array, Dynamic Programming, Breadth-First Search, Matrix"
30/07/2021,https://leetcode.com/problems/map-sum-pairs/,677,map-sum-pairs,Map Sum Pairs,Medium,,"Hash Table, String, Design, Trie"
31/07/2021,https://leetcode.com/problems/trapping-rain-water/,42,trapping-rain-water,Trapping Rain Water,Hard,,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
01/08/2021,https://leetcode.com/problems/making-a-large-island/,827,making-a-large-island,Making A Large Island,Hard,,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
02/08/2021,https://leetcode.com/problems/two-sum/,1,two-sum,Two Sum,Easy,,"Array, Hash Table"
03/08/2021,https://leetcode.com/problems/subsets-ii/,90,subsets-ii,Subsets II,Medium,,"Array, Backtracking, Bit Manipulation"
04/08/2021,https://leetcode.com/problems/path-sum-ii/,113,path-sum-ii,Path Sum II,Medium,,"Backtracking, Tree, Depth-First Search, Binary Tree"
05/08/2021,https://leetcode.com/problems/stone-game/,877,stone-game,Stone Game,Medium,,"Array, Math, Dynamic Programming, Game Theory"
06/08/2021,https://leetcode.com/problems/n-ary-tree-level-order-traversal/,429,n-ary-tree-level-order-traversal,N-ary Tree Level Order Traversal,Medium,,"Tree, Breadth-First Search"
07/08/2021,https://leetcode.com/problems/palindrome-partitioning-ii/,132,palindrome-partitioning-ii,Palindrome Partitioning II,Hard,,"String, Dynamic Programming"
08/08/2021,https://leetcode.com/problems/rank-transform-of-a-matrix/,1632,rank-transform-of-a-matrix,Rank Transform of a Matrix,Hard,,"Array, Union Find, Graph, Topological Sort, Sorting, Matrix"
09/08/2021,https://leetcode.com/problems/add-strings/,415,add-strings,Add Strings,Easy,,"Math, String, Simulation"
10/08/2021,https://leetcode.com/problems/flip-string-to-monotone-increasing/,926,flip-string-to-monotone-increasing,Flip String to Monotone Increasing,Medium,,"String, Dynamic Programming"
11/08/2021,https://leetcode.com/problems/array-of-doubled-pairs/,954,array-of-doubled-pairs,Array of Doubled Pairs,Medium,,"Array, Hash Table, Greedy, Sorting"
12/08/2021,https://leetcode.com/problems/group-anagrams/,49,group-anagrams,Group Anagrams,Medium,,"Array, Hash Table, String, Sorting"
13/08/2021,https://leetcode.com/problems/set-matrix-zeroes/,73,set-matrix-zeroes,Set Matrix Zeroes,Medium,,"Array, Hash Table, Matrix"
14/08/2021,https://leetcode.com/problems/remove-boxes/,546,remove-boxes,Remove Boxes,Hard,,"Array, Dynamic Programming, Memoization"
15/08/2021,https://leetcode.com/problems/minimum-window-substring/,76,minimum-window-substring,Minimum Window Substring,Hard,,"Hash Table, String, Sliding Window"
16/08/2021,https://leetcode.com/problems/range-sum-query-immutable/,303,range-sum-query-immutable,Range Sum Query - Immutable,Easy,,"Array, Design, Prefix Sum"
17/08/2021,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,1448,count-good-nodes-in-binary-tree,Count Good Nodes in Binary Tree,Medium,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
18/08/2021,https://leetcode.com/problems/decode-ways/,91,decode-ways,Decode Ways,Medium,,"String, Dynamic Programming"
19/08/2021,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree/,1339,maximum-product-of-splitted-binary-tree,Maximum Product of Splitted Binary Tree,Medium,,"Tree, Depth-First Search, Binary Tree"
20/08/2021,https://leetcode.com/problems/valid-sudoku/,36,valid-sudoku,Valid Sudoku,Medium,,"Array, Hash Table, Matrix"
21/08/2021,https://leetcode.com/problems/sudoku-solver/,37,sudoku-solver,Sudoku Solver,Hard,,"Array, Hash Table, Backtracking, Matrix"
22/08/2021,https://leetcode.com/problems/rectangle-area-ii/,850,rectangle-area-ii,Rectangle Area II,Hard,,"Array, Segment Tree, Line Sweep, Ordered Set"
23/08/2021,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,653,two-sum-iv-input-is-a-bst,Two Sum IV - Input is a BST,Easy,,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
24/08/2021,https://leetcode.com/problems/complex-number-multiplication/,537,complex-number-multiplication,Complex Number Multiplication,Medium,,"Math, String, Simulation"
25/08/2021,https://leetcode.com/problems/sum-of-square-numbers/,633,sum-of-square-numbers,Sum of Square Numbers,Medium,,"Math, Two Pointers, Binary Search"
26/08/2021,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree/,331,verify-preorder-serialization-of-a-binary-tree,Verify Preorder Serialization of a Binary Tree,Medium,,"String, Stack, Tree, Binary Tree"
27/08/2021,https://leetcode.com/problems/longest-uncommon-subsequence-ii/,522,longest-uncommon-subsequence-ii,Longest Uncommon Subsequence II,Medium,,"Array, Hash Table, Two Pointers, String, Sorting"
28/08/2021,https://leetcode.com/problems/maximum-profit-in-job-scheduling/,1235,maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,,"Array, Binary Search, Dynamic Programming, Sorting"
29/08/2021,https://leetcode.com/problems/patching-array/,330,patching-array,Patching Array,Hard,,"Array, Greedy"
30/08/2021,https://leetcode.com/problems/range-addition-ii/,598,range-addition-ii,Range Addition II,Easy,,"Array, Math"
31/08/2021,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,153,find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,,"Array, Binary Search"
01/09/2021,https://leetcode.com/problems/array-nesting/,565,array-nesting,Array Nesting,Medium,,"Array, Depth-First Search"
02/09/2021,https://leetcode.com/problems/unique-binary-search-trees-ii/,95,unique-binary-search-trees-ii,Unique Binary Search Trees II,Medium,,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
03/09/2021,https://leetcode.com/problems/erect-the-fence/,587,erect-the-fence,Erect the Fence,Hard,,"Array, Math, Geometry"
04/09/2021,https://leetcode.com/problems/sum-of-distances-in-tree/,834,sum-of-distances-in-tree,Sum of Distances in Tree,Hard,,"Dynamic Programming, Tree, Depth-First Search, Graph"
05/09/2021,https://leetcode.com/problems/orderly-queue/,899,orderly-queue,Orderly Queue,Hard,,"Math, String, Sorting"
06/09/2021,https://leetcode.com/problems/slowest-key/,1629,slowest-key,Slowest Key,Easy,,"Array, String"
07/09/2021,https://leetcode.com/problems/reverse-linked-list/,206,reverse-linked-list,Reverse Linked List,Easy,,"Linked List, Recursion"
08/09/2021,https://leetcode.com/problems/shifting-letters/,848,shifting-letters,Shifting Letters,Medium,,"Array, String, Prefix Sum"
09/09/2021,https://leetcode.com/problems/largest-plus-sign/,764,largest-plus-sign,Largest Plus Sign,Medium,,"Array, Dynamic Programming"
10/09/2021,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/,446,arithmetic-slices-ii-subsequence,Arithmetic Slices II - Subsequence,Hard,,"Array, Dynamic Programming"
11/09/2021,https://leetcode.com/problems/basic-calculator/,224,basic-calculator,Basic Calculator,Hard,,"Math, String, Stack, Recursion"
12/09/2021,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/,882,reachable-nodes-in-subdivided-graph,Reachable Nodes In Subdivided Graph,Hard,,"Graph, Heap (Priority Queue), Shortest Path"
13/09/2021,https://leetcode.com/problems/maximum-number-of-balloons/,1189,maximum-number-of-balloons,Maximum Number of Balloons,Easy,,"Hash Table, String, Counting"
