date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,topicTags
12/05/2020,https://leetcode.com/problems/single-element-in-a-sorted-array/,540,single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,,"Array, Binary Search"
13/05/2020,https://leetcode.com/problems/remove-k-digits/,402,remove-k-digits,Remove K Digits,Medium,,"String, Stack, Greedy, Monotonic Stack"
14/05/2020,https://leetcode.com/problems/implement-trie-prefix-tree/,208,implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,,"Hash Table, String, Design, Trie"
15/05/2020,https://leetcode.com/problems/maximum-sum-circular-subarray/,918,maximum-sum-circular-subarray,Maximum Sum Circular Subarray,Medium,,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
16/05/2020,https://leetcode.com/problems/odd-even-linked-list/,328,odd-even-linked-list,Odd Even Linked List,Medium,,Linked List
17/05/2020,https://leetcode.com/problems/find-all-anagrams-in-a-string/,438,find-all-anagrams-in-a-string,Find All Anagrams in a String,Medium,,"Hash Table, String, Sliding Window"
18/05/2020,https://leetcode.com/problems/permutation-in-string/,567,permutation-in-string,Permutation in String,Medium,,"Hash Table, Two Pointers, String, Sliding Window"
19/05/2020,https://leetcode.com/problems/online-stock-span/,901,online-stock-span,Online Stock Span,Medium,,"Stack, Design, Monotonic Stack, Data Stream"
20/05/2020,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,230,kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
21/05/2020,https://leetcode.com/problems/count-square-submatrices-with-all-ones/,1277,count-square-submatrices-with-all-ones,Count Square Submatrices with All Ones,Medium,,"Array, Dynamic Programming, Matrix"
22/05/2020,https://leetcode.com/problems/sort-characters-by-frequency/,451,sort-characters-by-frequency,Sort Characters By Frequency,Medium,,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
23/05/2020,https://leetcode.com/problems/interval-list-intersections/,986,interval-list-intersections,Interval List Intersections,Medium,,"Array, Two Pointers, Line Sweep"
24/05/2020,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,1008,construct-binary-search-tree-from-preorder-traversal,Construct Binary Search Tree from Preorder Traversal,Medium,,"Array, Stack, Tree, Binary Search Tree, Monotonic Stack, Binary Tree"
25/05/2020,https://leetcode.com/problems/uncrossed-lines/,1035,uncrossed-lines,Uncrossed Lines,Medium,,"Array, Dynamic Programming"
26/05/2020,https://leetcode.com/problems/contiguous-array/,525,contiguous-array,Contiguous Array,Medium,,"Array, Hash Table, Prefix Sum"
27/05/2020,https://leetcode.com/problems/possible-bipartition/,886,possible-bipartition,Possible Bipartition,Medium,,"Depth-First Search, Breadth-First Search, Union Find, Graph"
